team_id,sprint_id,total_tasks,team_size,planned_story_points,completed_story_points,total_effort_minutes,total_time_spent,sprint_number,historical_velocity_avg,developer_availability_rate,absence_days_total,overtime_hours_total,concurrent_assignments,skill_match_ratio,avg_seniority_level,actual_sprint_cost
T1,S1,7,4,10.0,10.0,24796.0,0.0,1,10.0,0.6,1,0.0,2.0,1.0,1.60944,4479.6
T1,S2,9,2,16.0,16.0,145888.0,0.0,704,11.4584,0.8,1,0.0,1.0,1.0,1.09861,15588.8
T1,S3,1,1,1.0,1.0,10425.0,0.0,1558,11.9457,0.9,0,0.0,0.5,1.0,0.693147,1542.5
T1,S4,5,4,14.0,14.0,95030.0,0.0,2191,21.3649,0.6,1,0.0,2.0,1.0,1.60944,11503.0
T1,S5,12,8,28.0,28.0,166500.0,0.0,3167,37.056,0.2,2,0.0,4.0,1.0,2.19722,20650.0
T1,S6,16,8,41.0,41.0,134126.0,0.0,3278,36.6031,0.2,2,0.0,4.0,1.0,2.19722,17412.6
T1,S7,29,10,80.0,80.0,272601.0,0.0,3352,36.1365,0.0,3,0.0,5.0,1.0,2.3979,32260.1
T1,S8,17,9,41.0,41.0,244589.0,0.0,3434,35.5401,0.1,3,0.0,4.5,1.0,2.30259,28958.9
T1,S9,21,10,69.0,69.0,143074.0,0.0,3507,200.0,0.0,3,0.0,5.0,1.0,2.3979,19307.4
T1,S10,29,10,85.0,85.0,323966.0,0.0,2,10.0,0.0,3,0.0,5.0,1.0,2.3979,37396.6
T1,S11,28,10,100.0,97.0,204650.0,0.0,87,31.7616,0.0,3,1.5,5.0,0.97,2.3979,25540.0
T1,S12,28,10,111.0,111.0,207559.0,0.0,166,21.8242,0.0,3,0.0,5.0,1.0,2.3979,25755.9
T1,S13,18,9,74.0,74.0,80754.0,0.0,226,17.6168,0.1,3,0.0,4.5,1.0,2.30259,12575.4
T1,S14,28,12,106.0,106.0,331044.0,0.0,308,16.5824,0.0,4,0.0,6.0,1.0,2.56495,39104.4
T1,S15,14,10,57.0,57.0,187247.0,0.0,404,16.9052,0.0,3,0.0,5.0,1.0,2.3979,23724.7
T1,S16,25,11,70.0,70.0,152554.0,0.0,472,14.8902,0.0,3,0.0,5.5,1.0,2.48491,20755.4
T1,S17,44,12,109.0,109.0,184732.0,0.0,533,13.4977,0.0,4,0.0,6.0,1.0,2.56495,24473.2
T1,S18,61,15,193.0,193.0,459223.0,0.0,609,12.174,0.0,5,0.0,7.5,1.0,2.77259,53422.3
T1,S19,28,9,90.0,85.0,130401.0,0.0,649,11.8731,0.1,3,2.5,4.5,0.944444,2.30259,17665.1
T1,S20,28,12,92.0,91.0,284641.0,0.0,705,11.4649,0.0,4,0.5,6.0,0.98913,2.56495,34489.1
T1,S21,34,11,114.0,114.0,355160.0,0.0,778,10.7964,0.0,3,0.0,5.5,1.0,2.48491,41016.0
T1,S22,27,9,89.0,89.0,221453.0,0.0,864,10.2072,0.1,3,0.0,4.5,1.0,2.30259,26645.3
T1,S23,25,9,103.0,103.0,241465.0,0.0,929,9.85968,0.1,3,0.0,4.5,1.0,2.30259,28646.5
T1,S24,35,11,139.0,139.0,408983.0,0.0,984,9.67831,0.0,3,0.0,5.5,1.0,2.48491,46398.3
T1,S25,6,4,15.0,15.0,30203.0,0.0,1045,9.39587,0.6,1,0.0,2.0,1.0,1.60944,5020.3
T1,S26,38,11,105.0,102.0,123458.0,0.0,1136,8.72007,0.0,3,1.5,5.5,0.971429,2.48491,17920.8
T1,S27,61,11,183.0,183.0,393032.0,0.0,1242,8.17831,0.0,3,0.0,5.5,1.0,2.48491,44803.2
T1,S28,48,10,148.0,148.0,390194.0,1.0,1346,7.85895,0.0,3,0.0,5.0,1.0,2.3979,44019.4
T1,S29,27,10,86.0,86.0,267888.0,0.0,1451,8.2323,0.0,3,0.0,5.0,1.0,2.3979,31788.8
T1,S30,60,14,231.0,231.0,765048.0,0.0,1559,11.9386,0.0,4,0.0,7.0,1.0,2.70805,83504.8
T1,S31,38,13,131.0,131.0,272469.0,180.0,1666,14.6873,0.0,4,0.0,6.5,1.0,2.63906,33746.9
T1,S32,13,5,27.0,27.0,76864.0,0.0,1775,20.1276,0.5,2,0.0,2.5,1.0,1.79176,10186.4
T1,S33,10,5,48.0,48.0,265702.0,0.0,1883,22.2989,0.5,2,0.0,2.5,1.0,1.79176,29070.2
T1,S34,9,7,64.0,64.0,146166.0,0.0,1981,21.946,0.3,2,0.0,3.5,1.0,2.07944,18116.6
T1,S35,66,11,147.0,147.0,116629.0,0.0,2073,21.0758,0.0,3,0.0,5.5,1.0,2.48491,17162.9
T1,S36,56,12,167.2,167.2,141729.0,0.0,2084,21.1099,0.0,4,0.0,6.0,1.0,2.56495,20172.9
T1,S37,65,15,282.0,282.0,391863.0,0.0,2094,21.2356,0.0,5,0.0,7.5,1.0,2.77259,46686.3
T1,S38,21,8,73.0,73.0,68380.0,0.0,2104,21.4547,0.2,2,0.0,4.0,1.0,2.19722,10838.0
T1,S39,22,10,65.0,65.0,53899.0,0.0,2115,21.6477,0.0,3,0.0,5.0,1.0,2.3979,10389.9
T1,S40,78,14,294.0,289.0,351930.0,0.0,2192,21.3616,0.0,4,2.5,7.0,0.982993,2.70805,42318.0
T1,S41,50,9,159.0,159.0,426374.0,0.0,2293,26.8424,0.1,3,0.0,4.5,1.0,2.30259,47137.4
T1,S42,64,11,175.0,175.0,345213.0,0.0,2378,26.5363,0.0,3,0.0,5.5,1.0,2.48491,40021.3
T1,S43,61,14,257.0,257.0,446447.0,0.0,2467,27.9828,0.0,4,0.0,7.0,1.0,2.70805,51644.7
T1,S44,24,10,113.0,113.0,343602.0,0.0,2570,29.4931,0.0,3,0.0,5.0,1.0,2.3979,39360.2
T1,S45,39,8,170.0,170.0,405831.0,0.0,2671,29.9774,0.2,2,0.0,4.0,1.0,2.19722,44583.1
T1,S46,59,9,294.0,294.0,275819.0,0.0,2766,29.78,0.1,3,0.0,4.5,1.0,2.30259,32081.9
T1,S47,36,10,87.0,87.0,196673.0,0.0,2874,30.8299,0.0,3,0.0,5.0,1.0,2.3979,24667.3
T1,S48,69,12,250.0,250.0,728726.0,0.0,2973,32.199,0.0,4,0.0,6.0,1.0,2.56495,78872.6
T1,S49,42,10,212.0,212.0,308413.0,0.0,3078,35.8925,0.0,3,0.0,5.0,1.0,2.3979,35841.3
T1,S50,20,8,128.0,128.0,531449.0,0.0,3168,37.0531,0.2,2,0.0,4.0,1.0,2.19722,57144.9
T1,S51,40,13,140.0,140.0,332718.0,0.0,3204,36.932,0.0,4,0.0,6.5,1.0,2.63906,39771.8
T1,S52,30,8,110.0,110.0,122944.0,0.0,3215,36.912,0.2,2,0.0,4.0,1.0,2.19722,16294.4
T1,S53,31,9,115.0,115.0,140274.0,0.0,3226,36.8519,0.1,3,0.0,4.5,1.0,2.30259,18527.4
T1,S54,18,9,49.0,49.0,71968.0,0.0,3234,36.7978,0.1,3,0.0,4.5,1.0,2.30259,11696.8
T1,S55,111,13,274.0,274.0,259357.0,0.0,3244,36.7398,0.0,4,0.0,6.5,1.0,2.63906,32435.7
T1,S56,22,9,44.0,44.0,52494.0,0.0,3254,36.7443,0.1,3,0.0,4.5,1.0,2.30259,9749.4
T1,S57,29,12,66.0,66.0,159167.0,0.0,3264,36.6768,0.0,4,0.0,6.0,1.0,2.56495,21916.7
T1,S58,33,7,59.0,59.0,86448.0,0.0,3266,36.6745,0.3,2,0.0,3.5,1.0,2.07944,12144.8
T1,S59,24,9,108.0,108.0,92608.0,0.0,3270,36.6489,0.1,3,0.0,4.5,1.0,2.30259,13760.8
T1,S60,13,7,39.0,39.0,23379.0,0.0,3279,36.6044,0.3,2,0.0,3.5,1.0,2.07944,5837.9
T1,S61,49,10,121.0,121.0,49257.0,0.0,3286,36.5444,0.0,3,0.0,5.0,1.0,2.3979,9925.7
T1,S62,33,9,95.0,95.0,105238.0,0.0,3292,36.5236,0.1,3,0.0,4.5,1.0,2.30259,15023.8
T1,S63,30,9,62.0,62.0,38090.0,0.0,3300,36.476,0.1,3,0.0,4.5,1.0,2.30259,8309.0
T1,S64,15,7,72.0,72.0,71888.0,0.0,3308,36.4189,0.3,2,0.0,3.5,1.0,2.07944,10688.8
T1,S65,10,4,12.0,12.0,3458.0,0.0,3315,36.3942,0.6,1,0.0,2.0,1.0,1.60944,2345.8
T1,S66,17,6,18.0,18.0,59539.0,0.0,3322,36.3458,0.4,2,0.0,3.0,1.0,1.94591,8953.9
T2,S67,3,1,0.0,0.0,0.0,0.0,3330,36.3389,0.9,0,0.0,0.5,0.0,0.693147,500.0
T2,S68,10,1,0.0,0.0,1565.0,0.0,3341,36.254,0.9,0,0.0,0.5,0.0,0.693147,656.5
T2,S69,6,2,0.0,0.0,305.0,0.0,3347,36.189,0.8,1,0.0,1.0,0.0,1.09861,1030.5
T2,S70,2,1,0.0,0.0,25.0,0.0,3353,36.1495,0.9,0,0.0,0.5,0.0,0.693147,502.5
T2,S71,3,1,0.0,0.0,5.0,0.0,3357,36.1091,0.9,0,0.0,0.5,0.0,0.693147,500.5
T2,S72,8,1,0.0,0.0,64376.0,0.0,3363,36.0527,0.9,0,0.0,0.5,0.0,0.693147,6937.6
T2,S74,14,2,0.0,0.0,9751.0,0.0,3376,35.9402,0.8,1,0.0,1.0,0.0,1.09861,1975.1
T2,S75,3,1,0.0,0.0,13138.0,0.0,3385,35.8568,0.9,0,0.0,0.5,0.0,0.693147,1813.8
T2,S76,29,3,0.0,0.0,114003.0,0.0,3393,35.7837,0.7,1,0.0,1.5,0.0,1.38629,12900.3
T2,S77,2,1,0.0,0.0,0.0,0.0,3403,35.707,0.9,0,0.0,0.5,0.0,0.693147,500.0
T2,S78,13,1,0.0,0.0,110349.0,0.0,3414,35.6438,0.9,0,0.0,0.5,0.0,0.693147,11534.9
T2,S79,19,2,0.0,0.0,197421.0,0.0,3425,35.5687,0.8,1,0.0,1.0,0.0,1.09861,20742.1
T2,S80,13,2,8.0,8.0,41050.0,0.0,3435,35.5417,0.8,1,0.0,1.0,1.0,1.09861,5105.0
T2,S81,5,1,0.0,0.0,5893.0,0.0,3442,35.5334,0.9,0,0.0,0.5,0.0,0.693147,1089.3
T2,S82,2,1,0.0,0.0,102.0,0.0,3449,35.4815,0.9,0,0.0,0.5,0.0,0.693147,510.2
T2,S83,8,3,7.0,7.0,33539.0,0.0,3456,35.4441,0.7,1,0.0,1.5,1.0,1.38629,4853.9
T2,S84,29,3,20.0,20.0,1680711.0,0.0,3466,35.5591,0.7,1,0.0,1.5,1.0,1.38629,169571.0
T2,S85,19,3,8.0,8.0,78629.0,0.0,3475,35.5283,0.7,1,0.0,1.5,1.0,1.38629,9362.9
T2,S86,24,4,3.0,3.0,139673.0,0.0,3482,35.5186,0.6,1,0.0,2.0,1.0,1.60944,15967.3
T2,S87,20,2,26710115.0,26710115.0,211035.0,0.0,3489,35.4671,0.8,1,0.0,1.0,1.0,1.09861,22103.5
