feature,importance
numeric__total_effort_minutes,0.9961646363753923
numeric__overtime_hours_total,0.00033945362297989893
numeric__concurrent_assignments,0.00030917540686304946
numeric__completed_points_per_task,0.0002975284897279778
numeric__historical_velocity_avg,0.0002918373505250916
numeric__effort_per_developer,0.0002816385438040133
numeric__sprint_number,0.0002734805514414781
numeric__planned_points_per_task,0.00026446259657066454
numeric__overtime_per_person,0.00020332507377761745
numeric__avg_seniority_level,0.00019618056037007704
numeric__planned_story_points,0.00019588702753016408
numeric__team_size,0.00019249180874381726
numeric__effort_per_task,0.00017662843142729573
numeric__story_point_completion_ratio,0.0001742241065901607
numeric__skill_match_ratio,0.0001531017314464792
numeric__total_tasks,0.00013891547249412757
numeric__absence_days_total,0.00011495850765884365
numeric__completed_story_points,0.00010767990650220328
numeric__developer_availability_rate,5.542090126746531e-05
categorical__team_id_T12,3.33392875063306e-05
categorical__team_id_T24,1.946892697907874e-05
numeric__availability_adjusted_capacity,1.1329737915641654e-05
categorical__team_id_T28,2.674262086535611e-06
numeric__total_time_spent,5.990897692649277e-07
categorical__team_id_T4,5.111260017975565e-07
categorical__team_id_T34,2.533150069031271e-07
categorical__team_id_T1,1.882961057187672e-07
categorical__team_id_T22,1.1372428885345657e-07
categorical__team_id_T35,1.1335402372338172e-07
categorical__team_id_T26,8.058717391561892e-08
categorical__team_id_T36,7.313036272186862e-08
categorical__team_id_T27,6.334526967112605e-08
categorical__team_id_T19,3.907092891629917e-08
categorical__team_id_T30,3.634739237705109e-08
categorical__team_id_T11,2.0253019394883937e-08
categorical__team_id_T23,1.7609210288399138e-08
categorical__team_id_T3,1.2516990951645673e-08
categorical__team_id_T25,1.1324167152904574e-08
categorical__team_id_T13,5.759220127012913e-09
categorical__team_id_T21,4.644871159306306e-09
categorical__team_id_T20,3.5415440275154e-09
categorical__team_id_T32,2.944956368503587e-09
categorical__team_id_T7,2.9007547541412704e-09
categorical__team_id_T31,2.174473423724525e-09
categorical__team_id_T18,1.5879906559192112e-09
categorical__team_id_T15,1.271651677250773e-09
categorical__team_id_T44,9.481335944861342e-10
categorical__team_id_T5,9.133236288631563e-10
categorical__team_id_T17,5.713939150487907e-10
categorical__team_id_T6,4.811589882781119e-10
categorical__team_id_T2,2.6567048713408055e-10
categorical__team_id_T9,2.0439194945136854e-10
categorical__team_id_T16,1.3167147754300306e-11
categorical__team_id_T10,7.986184506754325e-12
categorical__sprint_id_S4240,0.0
categorical__sprint_id_S4212,0.0
categorical__sprint_id_S4213,0.0
